Spot index;Coefficient 1;Coefficient 2;Coefficient 3;Coefficient 4
2484;1.9508802020288;-0.9969267034015844;-0.42934562235027;-0.13377163117738
2485;2.093926347751;-0.903539050903786;-0.37059572450751;-0.11960033218943
2486;2.2215757618376;-0.73636817509288;-0.29650910108112;-0.13224634956507
2487;2.262833138225;-0.81343705129632;-0.44330003265372;-0.19851482409428
2488;1.3472162425719;-0.33515513966636;0.13410196579047;0.31027863990147
2489;0.75792679031131;-0.36773126967223;-0.1242865707862;0.12941240699723
2490;0.42901453508599;-0.3651093263871799;0.035816334728563;0.058703889176509
2491;0.51557478032529;-0.55263820063822;-0.023164912261079;-0.1608063942797
2492;0.24658101469241;-0.74983554972727;0.011645998478876;-0.0026176966854966
2493;0.46951388367502;-0.85199864614553;-0.07159314485938;-0.19363532747847
2494;0.41810593228157;-0.6267111326656201;-0.074282176150462;-0.016707051522028
2495;1.6081823379528;-0.4834957122097;-0.23104293657416;-0.12180156268617
2496;1.7361152814746;-0.54194476041021;-0.11875311125077;-0.10519362993702
2497;1.8175191906301;-0.68601263223162;0.01187306000066;-0.096466962771071
2498;1.5030787248715;-0.74259032665091;-0.17276861867829;-0.023867397380223
2499;1.4168389239328;-0.6818017593636;-0.019719249366017;-0.2486556834447
2500;1.6574741452074;-0.76310998689798;-0.12910997736237;-0.32754932535471
2501;1.798151851479;-0.9618865196645;0.0091309630244054;-0.34675888688411
2502;1.6016229984683;-1.016454829377057;0.1877293019155;-0.055734590889396
2503;1.5917117705155;-0.9993209626472168;0.20491735138115;-0.0089320563349035
2504;1.2890408764432;-0.7730949361235;0.14568033700613;0.1559061005993
2555;1.8328318238498;-1.024798913423392;0.095236727055002;-0.38364473072189
2556;2.5863933847321;-0.89475245701031;-0.04795618428774;-0.37343351299917
2557;2.7759026559596;-0.81877099351167;0.072522050564617;-0.33248724951809
2558;2.4366131979214;-0.67537821397759;0.28062390465405;-0.0602327787346
2559;1.7029913675588;-0.2949306068866;0.25452358179661;-0.029991286913079
2560;4.1341772297156;-0.963914668454671;-0.11692599790527;-0.038430496100469
2561;3.5600346626502;-0.76051181123177;0.080769735741183;0.21676448523679
2562;3.8353980327329;-1.040923222506832;0.060663335419365;0.17370560466049
2563;3.0626326262356;-1.49526951295621;-0.35381525552327;0.24498633838775
2564;3.4272166053426;-1.62309313860845;-0.27436221064267;0.17557731219392
2565;1.9152309543082;-0.98513813053717;0.016142776076982;0.23543759742465
2566;1.4306830464054;-1.043429765870898;-0.22184773991717;0.067702900760678
2567;1.3191306223185;-1.066224892257142;-0.19299858823736;0.003208151361674
2568;1.6937182942582;-1.11773772932636;-0.30590081421606;-0.097580668043438
2569;2.024547374734;-1.075251769214096;-0.34008525547138;-0.071519477738439
2570;1.9868980219017;-1.030194736727212;-0.35737050634398;-0.0436874930284
2571;0.032643873515918;-1.0983377294403;0.22666751802184;0.029599313314895
2572;0.1059781991801;-0.8119864601496101;0.33569724762223;0.012578056618767
2573;0.74356028339045;-0.76419342050834;0.01928413218171;0.082984350337085
2574;0.70471013053704;-0.794133170979;0.06204954535399;-0.005403355203387
2575;0.11764141393376;-1.13761327476586;-0.12468483992088;-0.0056258017774324
2576;-0.14331434815633;-1.089878229757787;-0.16896876947562;-0.056864257269878
2577;-0.73016088179473;-0.56089481514802;-0.18447296922422;-0.035849615359748
2578;-0.21187962744394;-0.72327779295762;-0.075504202009089;-0.04572011008365
